augmented_mean_logprobs,boundary_idx,char_jaccard_disagreement,critical,dataset,internal_confidence_logprob_std,internal_confidence_mean_logprob,label_reason,llm_continuation_correct,llm_oracle_correct,prefix_char_len,prefix_token_len,problem_id,question_id,score_variance,selected_rank,slm_final_correct,source_root,structured_disagreement,xrd,xrd_component_scores,xrd_error
"[-1.273248095091958, -1.3721636243712965, -1.4299889924043327, -1.3970205608290485]",0,0.6102266862807445,False,math500,0.10085167762810306,-0.20593583350090938,slm_already_correct,True,True,143,133,0,,0.010171060880402823,0,True,/home/lhyang/Documents/code/GlimpRouter-main/bpa_results/diagnostics1,0.75,-1.1621694846732495,"[-1.1638189603109765, -1.1710389254508442, -1.2878820187525122, -1.0259380341786652]",
"[-0.6286268135702994, -2.2345213578431866, -1.0073758005528362, -0.8816304572904482]",2,0.3037860288666987,False,math500,0.03655395861304818,-0.09620371952234286,slm_already_correct,True,True,381,218,0,,0.0013361918902844389,1,True,/home/lhyang/Documents/code/GlimpRouter-main/bpa_results/diagnostics1,0.5,-1.0918348877918498,"[-0.5538655672560707, -2.075008418570784, -0.9315963543643243, -0.8068692109762196]",
"[-0.6158151285065969, -1.0657440957949404, -0.5322373535087763, -0.7475783979498942]",5,0.28130027652086476,False,math500,0.040438560918838,-0.0822184476870571,slm_already_correct,True,True,663,319,0,,0.001635277209186572,2,True,/home/lhyang/Documents/code/GlimpRouter-main/bpa_results/diagnostics1,0.25,-0.6581252962529949,"[-0.5596042783187383, -1.0013103348949894, -0.47602650332091767, -0.5955600684773341]",
"[-14.733080863952637, -1.1048812521206628, -1.0510731167222813, -0.976959327422221]",8,0.8187994456247122,False,math500,1.143890188663312,-0.9583794234777142,slm_already_correct,True,True,984,436,0,,1.3084847637201875,3,True,/home/lhyang/Documents/code/GlimpRouter-main/bpa_results/diagnostics1,0.5,-3.5081192165767363,"[-11.807990193367004, -0.5793021973138082, -0.8262689380017001, -0.8189155376244324]",
"[-0.21307465711834084, -0.2787589126552727, -0.1763377347359148, -0.1763377347359148]",10,0.03508771929824561,False,math500,0.024512765367188643,-0.10752492014838569,slm_already_correct,True,True,1050,461,0,,0.0006008756659468429,4,True,/home/lhyang/Documents/code/GlimpRouter-main/bpa_results/diagnostics1,0.0,-0.1036023396629751,"[-0.11970218865328365, -0.12877663745690152, -0.08296526627085761, -0.08296526627085761]",
"[-1.8958766037225843, -1.5351234457364171, -1.5525932070446231, -1.8561590841267446]",0,0.7629322756483709,True,math500,0.08049622029626227,-0.3508325574023008,slm_wrong_llm_boundary_recovers,True,True,317,284,1,,0.006479641481984385,0,False,/home/lhyang/Documents/code/GlimpRouter-main/bpa_results/diagnostics1,0.5,-1.3591055277552915,"[-1.4121721784355046, -1.2069415417094014, -1.227921105857341, -1.589387285018919]",
"[-1.1373065400104423, -1.9139926179566167, -1.9032323944512053, -1.439206654049364]",14,0.7756769570806502,True,math500,0.0875217265888181,-0.518743953664614,slm_wrong_llm_boundary_recovers,True,True,2258,1035,1,,0.00766005262508783,1,False,/home/lhyang/Documents/code/GlimpRouter-main/bpa_results/diagnostics1,0.25,-1.079690597952293,"[-0.4732372467246506, -1.4351330622607334, -1.4027771321443117, -1.0076149506794763]",
"[-2.426252236716788, -2.273289416971452, -1.9073543709379484, -1.571412756364282]",28,0.749344964270468,True,math500,0.12974919310730576,-0.5943455766050944,slm_wrong_llm_boundary_recovers,True,True,3961,1715,1,,0.016834853111996922,2,False,/home/lhyang/Documents/code/GlimpRouter-main/bpa_results/diagnostics1,0.0,-1.4502316186425233,"[-1.8225125541582448, -1.475966220475076, -1.4610298940506452, -1.0414178058861268]",
"[-1.9149269886111142, -1.0583500868469997, -1.3340683051459823, -1.0573066146203525]",41,0.7682872172716663,True,math500,0.11866197529522393,-0.7923539818879589,slm_wrong_llm_boundary_recovers,True,True,5579,2353,1,,0.014080664380964334,3,False,/home/lhyang/Documents/code/GlimpRouter-main/bpa_results/diagnostics1,0.5,-0.5488090169181532,"[-1.0906973488890799, -0.4624437446501446, -0.4195977146144806, -0.22249725951890786]",
"[-5.329015105240979, -1.5813348428273422, -3.0947874850992645, -1.169023470354091]",55,0.8963673166820865,True,math500,0.1484187062449409,-0.5870098853518845,slm_wrong_llm_boundary_recovers,True,True,7684,3122,1,,0.022028112363422062,4,False,/home/lhyang/Documents/code/GlimpRouter-main/bpa_results/diagnostics1,0.5,-2.2065303405285346,"[-4.808251150721708, -1.0179604065091183, -2.263932459854654, -0.7359773450286582]",
"[-0.7189301050468657, -0.6387758821840066, -0.6325718882635556, -1.4786272082948761]",0,0.4541626504796843,False,math500,0.04186419078504218,-0.19171124047558635,slm_already_correct,True,True,146,149,2,,0.001752610470086411,0,True,/home/lhyang/Documents/code/GlimpRouter-main/bpa_results/diagnostics1,0.75,-0.6755150304717397,"[-0.5649696737514205, -0.3850231704637679, -0.4798495627894255, -1.2722177148823448]",
"[-0.027618121411705943, -0.027618121411705943, -0.027618121411705943, -0.027618121411705943]",78,0.0,False,math500,0.0,-0.0002898568298554949,slm_already_correct,True,True,7421,3847,2,,0.0,1,True,/home/lhyang/Documents/code/GlimpRouter-main/bpa_results/diagnostics1,0.0,-0.027328264581850448,"[-0.027328264581850448, -0.027328264581850448, -0.027328264581850448, -0.027328264581850448]",
"[-0.061725476068197754, -0.061725476068197754, -0.061725476068197754, -0.061725476068197754]",157,0.0,False,math500,0.0,-0.0011809261899115347,slm_already_correct,True,True,14331,7401,2,,0.0,2,True,/home/lhyang/Documents/code/GlimpRouter-main/bpa_results/diagnostics1,0.0,-0.06054454987828622,"[-0.06054454987828622, -0.06054454987828622, -0.06054454987828622, -0.06054454987828622]",
"[-0.02649272720054796, -0.02649272720054796, -0.02649272720054796, -0.02649272720054796]",236,0.0,False,math500,6.6903200246171405e-06,-0.00030172628599167695,slm_already_correct,True,True,21111,10880,2,,4.4760382031793084e-11,3,True,/home/lhyang/Documents/code/GlimpRouter-main/bpa_results/diagnostics1,0.0,-0.026191000914556284,"[-0.026202588888757816, -0.026187138256489106, -0.026187138256489106, -0.026187138256489106]",
"[-0.024788028692000807, -0.024788028692000807, -0.024788028692000807, -0.024788028692000807]",314,0.0,False,math500,0.0,-8.001153990022658e-05,slm_already_correct,True,True,27939,14400,2,,0.0,4,True,/home/lhyang/Documents/code/GlimpRouter-main/bpa_results/diagnostics1,0.0,-0.02470801715210058,"[-0.02470801715210058, -0.02470801715210058, -0.02470801715210058, -0.02470801715210058]",
"[-0.8899505604791216, -0.7637736669111326, -0.7637736669111326, -0.8250437715404486]",0,0.7484043711646619,False,math500,0.06419380582658364,-0.22865236609944478,slm_already_correct,True,True,114,86,3,,0.004120844706501124,0,True,/home/lhyang/Documents/code/GlimpRouter-main/bpa_results/diagnostics1,0.5,-0.581983050361014,"[-0.6089602526523734, -0.5988112575122867, -0.5988112575122867, -0.5213494337671094]",
"[-0.06713179792501478, -0.06713179792501478, -0.06713179792501478, -0.06713179792501478]",86,0.0,False,math500,0.0,-0.0009587584950310202,slm_already_correct,True,True,10349,3693,3,,0.0,1,True,/home/lhyang/Documents/code/GlimpRouter-main/bpa_results/diagnostics1,0.0,-0.06617303942998376,"[-0.06617303942998376, -0.06617303942998376, -0.06617303942998376, -0.06617303942998376]",
"[-1.1118585481817718, -1.1118585481817718, -1.1118585481817718, -1.1118585481817718]",173,0.0,False,math500,0.0,-0.003188529507497151,slm_already_correct,True,True,20548,7271,3,,0.0,2,True,/home/lhyang/Documents/code/GlimpRouter-main/bpa_results/diagnostics1,0.0,-1.1086700186742746,"[-1.1086700186742746, -1.1086700186742746, -1.1086700186742746, -1.1086700186742746]",
"[-0.024559621673688525, -0.024559621673688525, -0.024559621673688525, -0.024559621673688525]",260,0.0,False,math500,0.0,-0.001237206892564505,slm_already_correct,True,True,30745,10843,3,,0.0,3,True,/home/lhyang/Documents/code/GlimpRouter-main/bpa_results/diagnostics1,0.0,-0.02332241478112402,"[-0.02332241478112402, -0.02332241478112402, -0.02332241478112402, -0.02332241478112402]",
"[-0.021257337911634977, -0.021257337911634977, -0.021257337911634977, -0.021257337911634977]",346,0.0,False,math500,0.0,-0.00025284429859340207,slm_already_correct,True,True,40576,14288,3,,0.0,4,True,/home/lhyang/Documents/code/GlimpRouter-main/bpa_results/diagnostics1,0.0,-0.021004493613041575,"[-0.021004493613041575, -0.021004493613041575, -0.021004493613041575, -0.021004493613041575]",
"[-1.3531392619496239, -1.320092106319862, -0.9475607384910631, -2.071964458508022]",0,0.6824196511638609,False,math500,0.09145414897178562,-0.4371151736997416,slm_wrong_llm_boundary_not_recovered,False,True,151,414,4,,0.008363861364153556,0,False,/home/lhyang/Documents/code/GlimpRouter-main/bpa_results/diagnostics1,0.25,-0.9860739676174012,"[-1.0537386537188678, -0.7677805935086042, -0.4772045032177772, -1.6455721200243556]",
"[-0.18197102146950783, -0.18197102146950783, -0.18197102146950783, -0.18197102146950783]",350,0.0,False,math500,0.0,-0.0034172911333761086,slm_wrong_llm_boundary_not_recovered,False,True,11131,4542,4,,0.0,1,False,/home/lhyang/Documents/code/GlimpRouter-main/bpa_results/diagnostics1,0.0,-0.17855373033613173,"[-0.17855373033613173, -0.17855373033613173, -0.17855373033613173, -0.17855373033613173]",
"[-0.4384637946173565, -0.4384637946173565, -0.4384637946173565, -0.4384637946173565]",701,0.0,False,math500,0.0,-0.008411694592073868,slm_wrong_llm_boundary_not_recovered,False,True,19906,7935,4,,0.0,2,False,/home/lhyang/Documents/code/GlimpRouter-main/bpa_results/diagnostics1,0.0,-0.43005210002528266,"[-0.43005210002528266, -0.43005210002528266, -0.43005210002528266, -0.43005210002528266]",
"[-0.8091084808495778, -0.8091084808495778, -0.8091084808495778, -0.8091084808495778]",1052,0.0,False,math500,0.0,-0.0017325668960828417,slm_wrong_llm_boundary_not_recovered,False,True,28681,11328,4,,0.0,3,False,/home/lhyang/Documents/code/GlimpRouter-main/bpa_results/diagnostics1,0.0,-0.807375913953495,"[-0.807375913953495, -0.807375913953495, -0.807375913953495, -0.807375913953495]",
"[-0.4289435276618211, -0.4289435276618211, -0.4289435276618211, -0.4289435276618211]",1402,0.0,False,math500,0.0,-0.008434215371315596,slm_wrong_llm_boundary_not_recovered,False,True,37440,14714,4,,0.0,4,False,/home/lhyang/Documents/code/GlimpRouter-main/bpa_results/diagnostics1,0.0,-0.4205093122905055,"[-0.4205093122905055, -0.4205093122905055, -0.4205093122905055, -0.4205093122905055]",
"[-1.4359952212980716, -0.961919789634976, -1.158813450272786, -1.2688822240597801]",0,0.5467344886194229,False,math500,0.04381755474733884,-0.2947550057161002,slm_already_correct,True,True,155,120,5,,0.0019199781040360366,0,True,/home/lhyang/Documents/code/GlimpRouter-main/bpa_results/diagnostics1,0.0,-0.9116476656003032,"[-1.1442568196681293, -0.7330200350197131, -0.8076881580720789, -0.9616256496412916]",
"[-0.6284938204262289, -0.7590152644096331, -1.0259922746375265, -0.861640035866003]",3,0.48388927463731973,False,math500,0.07067580131150689,-0.2355586336394737,slm_already_correct,True,True,562,215,5,,0.004995068891023599,1,True,/home/lhyang/Documents/code/GlimpRouter-main/bpa_results/diagnostics1,0.0,-0.5832267151953742,"[-0.5037196690265133, -0.5036171427487186, -0.7050990517001658, -0.6204709973060989]",
"[-1.2401222267772027, -1.4243216557651976, -1.2155243987922404, -1.3758148383967637]",6,0.3279033457327494,False,math500,0.030257352224486927,-0.12675211963637878,slm_already_correct,True,True,839,282,5,,0.0009155073636366639,2,True,/home/lhyang/Documents/code/GlimpRouter-main/bpa_results/diagnostics1,0.0,-1.1871936602964723,"[-1.0813387103400487, -1.288379783253049, -1.0802111560208232, -1.2988449915719684]",
"[-0.43645447285666705, -0.5993074540510861, -0.47792844534359347, -1.3623268883657147]",9,0.19466396487673085,False,math500,0.025998048990544365,-0.06438621769500652,slm_already_correct,True,True,1688,513,5,,0.0006758985513147447,3,True,/home/lhyang/Documents/code/GlimpRouter-main/bpa_results/diagnostics1,0.0,-0.6546180974592588,"[-0.38529344823667167, -0.553350200020537, -0.3686628778341072, -1.3111658637457193]",
"[-11.16613483428955, -2.5450078032057113, -2.5450078032057113, -2.5450078032057113]",12,0.5,False,math500,0.3492683687446886,-0.3325720542322545,slm_already_correct,True,True,1950,598,5,,0.12198839340557575,4,True,/home/lhyang/Documents/code/GlimpRouter-main/bpa_results/diagnostics1,0.25,-4.367717506744417,"[-10.228612219914794, -2.4140859356876243, -2.4140859356876243, -2.4140859356876243]",
"[-1.7033091948742367, -1.5147475685898826, -1.4909370142249827, -1.5059795819670398]",0,0.6507762755011065,False,math500,0.12204530907072456,-0.3809975029378663,slm_already_correct,True,True,194,106,6,,0.014895057466168682,0,True,/home/lhyang/Documents/code/GlimpRouter-main/bpa_results/diagnostics1,0.5,-1.1727458369761692,"[-1.4164246173630985, -0.9939356372022417, -1.0100494809853444, -1.2705736123539921]",
"[-1.2491719301532385, -1.079768971466791, -1.2270435614698272, -1.0460522826813303]",20,0.5963170214322288,False,math500,0.06011246297193455,-0.20745980764989902,slm_already_correct,True,True,3039,1018,6,,0.0036135082045522025,1,True,/home/lhyang/Documents/code/GlimpRouter-main/bpa_results/diagnostics1,0.5,-0.9430493787928977,"[-1.087574911090588, -0.8814029549549787, -1.0654465424071766, -0.7377731067188478]",
"[-2.815021865637251, -1.5669424169282369, -2.6512129121131762, -0.8374780966686037]",39,0.7103116507407732,False,math500,0.143610209542596,-0.33005516888169406,slm_already_correct,True,True,5469,1796,6,,0.020623892284868335,2,True,/home/lhyang/Documents/code/GlimpRouter-main/bpa_results/diagnostics1,0.5,-1.6376086539551231,"[-2.627968272196724, -1.1125640936421028, -2.464159318672649, -0.3457429313090161]",
"[-1.265572916538654, -1.265572916538654, -1.265572916538654, -1.265572916538654]",58,0.0,False,math500,0.0,-0.005348120906078215,slm_already_correct,True,True,7005,2273,6,,0.0,3,True,/home/lhyang/Documents/code/GlimpRouter-main/bpa_results/diagnostics1,0.0,-1.2602247956325758,"[-1.2602247956325758, -1.2602247956325758, -1.2602247956325758, -1.2602247956325758]",
"[-0.028946172500369904, -0.028946172500369904, -0.028946172500369904, -0.028946172500369904]",78,0.0,False,math500,0.0,-0.01030134387411663,slm_already_correct,True,True,8615,2795,6,,0.0,4,True,/home/lhyang/Documents/code/GlimpRouter-main/bpa_results/diagnostics1,0.0,-0.018644828626253274,"[-0.018644828626253274, -0.018644828626253274, -0.018644828626253274, -0.018644828626253274]",
"[-1.4897474961474018, -1.857307063479027, -1.6527813625777412, -1.876586917474583]",0,0.7766813257485276,True,math500,0.06667570904652764,-0.3182291077118412,slm_wrong_llm_boundary_recovers,True,True,171,150,7,,0.004445650176857207,0,False,/home/lhyang/Documents/code/GlimpRouter-main/bpa_results/diagnostics1,0.5,-1.400876602207847,"[-1.2854190369812102, -1.518305168994692, -1.2834421729263035, -1.5163400299291825]",
"[-1.1013478460507642, -1.9891336327636964, -1.5718989015076659, -0.9567143936240399]",90,0.8097556722526086,True,math500,0.3326350284778765,-0.6018770515633187,slm_wrong_llm_boundary_recovers,True,True,13240,4596,7,,0.11064606217047772,1,False,/home/lhyang/Documents/code/GlimpRouter-main/bpa_results/diagnostics1,0.5,-0.8028966419232229,"[-0.7586250257347205, -0.8706854628071596, -0.9045063430676237, -0.6777697360833876]",
"[-0.4247666450574022, -0.4247666450574022, -0.4247666450574022, -0.4247666450574022]",179,0.0,False,math500,0.00042270042377583823,-0.009124053304348349,slm_wrong_llm_boundary_not_recovered,False,True,23791,7879,7,,1.786756482602732e-07,2,False,/home/lhyang/Documents/code/GlimpRouter-main/bpa_results/diagnostics1,0.0,-0.41564259175305385,"[-0.4149104531426932, -0.4158866379565074, -0.4158866379565074, -0.4158866379565074]",
"[-0.14180650934406458, -0.14180650934406458, -0.14180650934406458, -0.14180650934406458]",268,0.0,False,math500,0.0,-0.0014583059252488706,slm_wrong_llm_boundary_not_recovered,False,True,34270,11133,7,,0.0,3,False,/home/lhyang/Documents/code/GlimpRouter-main/bpa_results/diagnostics1,0.0,-0.1403482034188157,"[-0.1403482034188157, -0.1403482034188157, -0.1403482034188157, -0.1403482034188157]",
"[-0.11206833969454522, -0.11206833969454522, -0.11206833969454522, -0.11206833969454522]",358,0.0,False,math500,0.0,-0.0011839725571860527,slm_wrong_llm_boundary_not_recovered,False,True,44890,14433,7,,0.0,4,False,/home/lhyang/Documents/code/GlimpRouter-main/bpa_results/diagnostics1,0.0,-0.11088436713735916,"[-0.11088436713735916, -0.11088436713735916, -0.11088436713735916, -0.11088436713735916]",
"[-1.891529506495069, -1.8074271085374372, -1.2671198366117158, -0.8488726389441581]",0,0.8014036243441277,True,math500,0.07203785930165604,-0.29966990691765466,slm_wrong_llm_boundary_recovers,True,True,75,104,8,,0.005189453172765191,0,False,/home/lhyang/Documents/code/GlimpRouter-main/bpa_results/diagnostics1,0.75,-1.1540673657294405,"[-1.6814881348779058, -1.4095974094742132, -1.0107847428099719, -0.5143991757556705]",
"[-0.05392884562661493, -0.05392884562661493, -0.05392884562661493, -0.05392884562661493]",156,0.0,True,math500,0.0,-0.00127810343389001,slm_wrong_llm_boundary_recovers,True,True,8885,3702,8,,0.0,1,False,/home/lhyang/Documents/code/GlimpRouter-main/bpa_results/diagnostics1,0.0,-0.05265074219272492,"[-0.05265074219272492, -0.05265074219272492, -0.05265074219272492, -0.05265074219272492]",
"[-0.006122547056488007, -0.006122547056488007, -0.006122547056488007, -0.006122547056488007]",312,0.0,True,math500,0.0,-0.00021404595801348996,slm_wrong_llm_boundary_recovers,True,True,17606,7290,8,,0.0,2,False,/home/lhyang/Documents/code/GlimpRouter-main/bpa_results/diagnostics1,0.0,-0.005908501098474517,"[-0.005908501098474517, -0.005908501098474517, -0.005908501098474517, -0.005908501098474517]",
"[-0.0407635807407587, -0.0407635807407587, -0.0407635807407587, -0.0407635807407587]",467,0.0,True,math500,0.0,-6.725108649874301e-05,slm_wrong_llm_boundary_recovers,True,True,26287,10844,8,,0.0,3,False,/home/lhyang/Documents/code/GlimpRouter-main/bpa_results/diagnostics1,0.0,-0.040696329654259955,"[-0.040696329654259955, -0.040696329654259955, -0.040696329654259955, -0.040696329654259955]",
"[-0.03386152514613059, -0.03386152514613059, -0.03386152514613059, -0.03386152514613059]",623,0.0,True,math500,9.358191469327753e-05,-0.005481212797371881,slm_wrong_llm_boundary_recovers,True,True,34974,14410,8,,8.75757475765987e-09,4,False,/home/lhyang/Documents/code/GlimpRouter-main/bpa_results/diagnostics1,0.0,-0.028380312348758707,"[-0.028542400979677043, -0.028326282805119264, -0.028326282805119264, -0.028326282805119264]",
"[-1.7121298008344183, -1.6885330764926039, -1.7159410544567208, -1.740904711396638]",0,0.7359221453826236,False,math500,0.07993939378200107,-0.4384944131616071,oracle_incorrect,False,False,484,326,9,,0.006390306678233831,0,False,/home/lhyang/Documents/code/GlimpRouter-main/bpa_results/diagnostics1,0.5,-1.2758827476334882,"[-1.1669586051931446, -1.3348833368345367, -1.230292257177867, -1.3713967913284044]",
"[-0.6042030037789345, -1.4823371954511717, -0.7902426594613772, -6.582720430195332]",38,0.8645499690128847,False,math500,0.5316950760998285,-0.841995032747283,oracle_incorrect,False,False,5338,1886,9,,0.2826996539488024,1,False,/home/lhyang/Documents/code/GlimpRouter-main/bpa_results/diagnostics1,0.5,-1.522880789474421,"[-0.1487345781770557, -0.7079295799152792, -0.3821437010856439, -4.852715298719705]",
